match_id,id,index,period,timestamp,minute,second,type,team,player,possession,possession_team,x,y
3879559,bcee11c9-3dd2-42eb-94c3-1040cee08d00,1,1,00:00:00.000,0,0,Starting XI,Juventus,nan,1,Juventus,,
3879559,1af62d1f-60f2-4d2f-b725-42a43fd7548a,2,1,00:00:00.000,0,0,Starting XI,Bologna,nan,1,Juventus,,
3879559,d2a82a38-9ab2-4b53-9f91-0d407cc16218,3,1,00:00:00.000,0,0,Half Start,Juventus,nan,1,Juventus,,
3879559,6083f85b-0f08-4269-945c-a346af72d7fc,4,1,00:00:00.000,0,0,Half Start,Bologna,nan,1,Juventus,,
3879559,296d82ab-a6ed-4858-9425-a0309f34fb79,1903,2,00:00:00.000,45,0,Half Start,Juventus,nan,97,Juventus,,
3879559,e8c6e2b4-f20c-4f69-9a54-220189c62bbf,1904,2,00:00:00.000,45,0,Half Start,Bologna,nan,97,Juventus,,
3879559,3c050639-88ae-4d13-8e9d-d097a88097d0,5,1,00:00:01.099,0,1,Pass,Juventus,Paulo Bruno Exequiel Dybala,2,Juventus,60.0,40.0
3879559,8dacc660-ce98-4474-9d15-4ab413f921c3,8,1,00:00:03.407,0,3,Pass,Juventus,Anderson Hernanes de Carvalho Andrade,2,Juventus,46.5,40.3
3879559,15ef2996-be26-4f7a-a377-8848166d5ac6,11,1,00:00:05.698,0,5,Pass,Juventus,Andrea Barzagli,2,Juventus,39.3,62.5
3879559,b36eb1a2-3c05-448a-bd40-8e6fe0174e61,14,1,00:00:08.381,0,8,Pass,Juventus,Leonardo Bonucci,2,Juventus,28.9,39.9
3879559,6a559c13-a944-4239-83ad-a4e2ba87623d,17,1,00:00:12.670,0,12,Pass,Juventus,Giorgio Chiellini,2,Juventus,49.9,15.2
3879559,9f5f824a-3627-458e-b99b-104a7bd3b926,20,1,00:00:15.148,0,15,Pass,Juventus,Leonardo Bonucci,2,Juventus,36.7,32.5
3879559,409c3115-0eb3-4fd6-9df0-dfa6131afdb7,24,1,00:00:18.478,0,18,Pass,Bologna,Amadou Diawara,3,Bologna,55.3,17.2
3879559,ddf562d7-8fa5-4a5c-ac11-029921f9bf4b,29,1,00:00:21.228,0,21,Pass,Bologna,Adam Masina,3,Bologna,52.0,10.7
3879559,b54fec5e-26ef-4aeb-aa39-0a6884975557,32,1,00:00:32.238,0,32,Pass,Bologna,Adam Masina,4,Bologna,57.9,0.1
3879559,7f9f3dec-c887-44a7-9b32-ed351fbe7b37,34,1,00:00:33.326,0,33,Pass,Bologna,Mattia Destro,4,Bologna,72.8,10.4
3879559,56ee9d7e-3fbc-4cea-9919-3a79f099ef6b,44,1,00:00:39.656,0,39,Pass,Bologna,Marios Oikonomou,4,Bologna,31.4,30.0
3879559,934177a5-87c3-46cf-ae0e-b8873988aa2b,46,1,00:00:41.541,0,41,Pass,Bologna,Antonio Mirante,4,Bologna,8.7,38.0
3879559,f3557c6c-4dba-40f8-8e8f-98d22cbc859d,48,1,00:00:45.124,0,45,Pass,Juventus,Anderson Hernanes de Carvalho Andrade,4,Bologna,56.3,46.0
3879559,6df58263-78d0-496a-ab52-5d7fd2cd0dfe,50,1,00:00:46.677,0,46,Pass,Bologna,Amadou Diawara,4,Bologna,44.7,22.9
3879559,0f87a8f0-6466-4cac-a7a9-e0365ced4c31,53,1,00:00:48.140,0,48,Pass,Bologna,Adam Masina,4,Bologna,44.0,11.1
3879559,32e9a995-c3d5-4411-b2e1-bb2a3a92edda,56,1,00:00:52.184,0,52,Pass,Bologna,Mattia Destro,4,Bologna,71.0,28.2
3879559,6d2319f2-d595-4aa0-92ac-56611d949183,60,1,00:00:55.263,0,55,Pass,Juventus,Leonardo Bonucci,5,Juventus,22.4,54.2
3879559,aea04298-33a0-48e1-b0f6-e457b2937670,63,1,00:00:56.981,0,56,Pass,Juventus,Juan Guillermo Cuadrado Bello,5,Juventus,41.0,71.1
3879559,b3e798c6-ff04-4647-877e-fcd812944b2b,65,1,00:00:57.810,0,57,Pass,Juventus,Sami Khedira,5,Juventus,38.9,62.5
3879559,70bbab36-6829-4ae4-8131-eb0a8ef1faef,68,1,00:00:58.914,0,58,Pass,Juventus,Paulo Bruno Exequiel Dybala,5,Juventus,51.6,62.7
3879559,a6b9b7b5-ad67-4e13-8aeb-0ad9e770e685,72,1,00:01:00.676,1,0,Pass,Juventus,Juan Guillermo Cuadrado Bello,5,Juventus,40.8,72.3
3879559,2eaba994-dd0d-4bf7-9958-e339c7a9cfa1,75,1,00:01:02.754,1,2,Pass,Juventus,Andrea Barzagli,5,Juventus,27.9,66.6
3879559,4ef4929a-59f9-4657-9b51-21db9702bf03,78,1,00:01:04.781,1,4,Pass,Juventus,Leonardo Bonucci,5,Juventus,23.0,52.1
3879559,929d47a1-e893-4cb5-880f-bfebc44fdcad,81,1,00:01:08.475,1,8,Pass,Juventus,Patrice Evra,5,Juventus,47.7,5.8
3879559,a44a8b59-445a-4dcd-9e6a-f7ab2616da02,83,1,00:01:09.510,1,9,Pass,Juventus,Paul Pogba,5,Juventus,56.5,5.0
3879559,c22410a3-6fcb-4909-b5d7-49072c03e465,86,1,00:01:11.424,1,11,Pass,Juventus,Patrice Evra,5,Juventus,45.3,5.4
3879559,a4066f62-4b14-4322-879c-6d9423f5d629,89,1,00:01:13.934,1,13,Pass,Juventus,Giorgio Chiellini,5,Juventus,34.4,13.3
3879559,2c9198cf-30c9-4c4c-a463-c984c92bf3f9,92,1,00:01:16.380,1,16,Pass,Juventus,Leonardo Bonucci,5,Juventus,27.7,35.8
3879559,66f702e1-694c-4a98-b8c7-b9e0bb016cad,95,1,00:01:19.172,1,19,Pass,Juventus,Andrea Barzagli,5,Juventus,46.9,69.4
3879559,be44c993-97bc-419a-b6c5-300461d3a12a,98,1,00:01:20.640,1,20,Pass,Juventus,Juan Guillermo Cuadrado Bello,5,Juventus,58.1,72.7
3879559,83a13b6b-05ec-4fa8-9213-ef4350391054,101,1,00:01:22.322,1,22,Pass,Juventus,Andrea Barzagli,5,Juventus,47.3,67.4
3879559,84e1638c-7257-48c8-a6e7-8aa77f7a18f8,104,1,00:01:24.653,1,24,Pass,Juventus,Anderson Hernanes de Carvalho Andrade,5,Juventus,67.1,58.6
3879559,5d169448-a564-4222-83c6-e91c96c8d89d,106,1,00:01:53.059,1,53,Pass,Bologna,Daniele Gastaldello,6,Bologna,37.3,13.9
3879559,452effec-bdff-483d-9509-89dc018e0970,109,1,00:01:55.948,1,55,Pass,Bologna,Marios Oikonomou,6,Bologna,34.2,40.2
3879559,5d82475a-744c-44c8-b184-6a14536537e2,112,1,00:02:00.858,2,0,Pass,Bologna,Alex Ferrari,6,Bologna,44.6,63.5
3879559,a4f9e53d-796c-427b-b5c3-07529cd3b9b4,115,1,00:02:10.392,2,10,Pass,Bologna,Antonio Mirante,6,Bologna,14.2,40.9
3879559,96849964-f5bf-434a-b499-5411ac87d2cf,118,1,00:02:12.896,2,12,Pass,Juventus,Giorgio Chiellini,6,Bologna,50.8,28.1
3879559,2071b2dd-5f73-4700-b602-1ac9e37dd00a,122,1,00:02:15.163,2,15,Pass,Bologna,Luca Rizzo,6,Bologna,64.7,35.9
3879559,839f4958-f6cf-4aea-ac90-de9a9272b5e2,125,1,00:02:17.073,2,17,Pass,Juventus,Giorgio Chiellini,7,Juventus,40.9,31.8
3879559,1ae24faa-19d6-42a3-82b0-aa262ce7a32e,128,1,00:02:19.513,2,19,Pass,Juventus,Paul Pogba,7,Juventus,50.8,12.8
3879559,57da0527-af84-436b-97ce-e397e9fb24d0,131,1,00:02:20.298,2,20,Pass,Juventus,Patrice Evra,7,Juventus,45.6,9.2
3879559,6f76502c-fd34-4630-b1b3-c827d9922459,133,1,00:02:35.472,2,35,Pass,Bologna,Alex Ferrari,8,Bologna,37.0,80.0
3879559,00557bc7-4cf3-4d84-8b87-7b090f76a059,135,1,00:02:36.332,2,36,Pass,Bologna,Anthony Mounier,8,Bologna,43.7,72.1
3879559,8740bbf8-1058-44fc-a740-14002d0b0745,138,1,00:02:36.909,2,36,Pass,Bologna,Anthony Mounier,8,Bologna,39.0,76.7
3879559,0a750f6f-df14-4d1f-becb-fe64b6bee664,141,1,00:02:38.312,2,38,Pass,Bologna,Erick Antonio Pulgar Farfán,8,Bologna,51.3,71.6
3879559,c3399e35-50f6-4c1e-ae07-9f98cbcc13b7,143,1,00:02:39.326,2,39,Pass,Bologna,Franco Brienza,8,Bologna,57.0,67.3
