match_id,id,index,period,timestamp,minute,second,type,team,player,possession,possession_team,x,y
3878549,bdc843fe-12f6-4227-b26b-7624f0589936,1,1,00:00:00.000,0,0,Starting XI,Empoli,nan,1,Empoli,,
3878549,1895b95c-4609-48f6-9490-d9e1ced755dc,2,1,00:00:00.000,0,0,Starting XI,Chievo,nan,1,Empoli,,
3878549,27f5f68c-10e3-4316-9766-b428ce700a41,3,1,00:00:00.000,0,0,Half Start,Empoli,nan,1,Empoli,,
3878549,d883e0ea-ce22-4783-8d66-dc15fd02ff00,4,1,00:00:00.000,0,0,Half Start,Chievo,nan,1,Empoli,,
3878549,0e8b5185-5cec-4fa7-b798-202b0aadc645,1784,2,00:00:00.000,45,0,Half Start,Empoli,nan,115,Empoli,,
3878549,5c1aabcd-64c3-4038-9b48-b961356ed1f6,1785,2,00:00:00.000,45,0,Half Start,Chievo,nan,115,Empoli,,
3878549,4abff1fa-8673-400a-a6ad-f69235ef856c,5,1,00:00:00.907,0,0,Pass,Empoli,Massimo Maccarone,2,Empoli,60.0,40.0
3878549,b09ee0dc-0937-43fa-bc99-2705b7cce0db,7,1,00:00:01.917,0,1,Pass,Empoli,Federico Barba,2,Empoli,44.8,35.7
3878549,691ffd48-5038-410c-a841-4ba72da16c1f,9,1,00:00:02.664,0,2,Pass,Empoli,Luca Martinelli,2,Empoli,42.8,37.4
3878549,d9f51691-4fa4-40fa-ad96-5825e29ea3b9,11,1,00:00:16.185,0,16,Pass,Chievo,Massimo Gobbi,3,Chievo,39.2,0.1
3878549,ba18bd5e-a16d-45d4-bdf7-c64f4d37c550,14,1,00:00:18.664,0,18,Pass,Chievo,Lucas Nahuel Castro,3,Chievo,56.9,8.3
3878549,a1a2ff78-38c5-47de-82dc-16d7309ef5fc,17,1,00:00:21.614,0,21,Pass,Empoli,Federico Barba,3,Chievo,31.5,51.1
3878549,ddfa2831-69e2-40e0-b7a6-423bed821fa6,24,1,00:00:49.186,0,49,Pass,Empoli,Łukasz Skorupski,4,Empoli,6.0,44.0
3878549,96929266-d42f-4d43-8103-899adb7ac1ad,28,1,00:01:24.955,1,24,Pass,Empoli,Piotr Zieliński,5,Empoli,120.0,80.0
3878549,6d0b1e68-d35e-422e-8aff-80c50169a248,38,1,00:01:34.604,1,34,Pass,Empoli,Daniele Croce,5,Empoli,83.5,56.0
3878549,fe025391-f36b-4b33-b60e-0740d5c3c027,40,1,00:01:35.889,1,35,Pass,Empoli,Piotr Zieliński,5,Empoli,83.7,67.5
3878549,4bc68e3f-e0a1-426a-93c3-67310bc10ef7,43,1,00:01:38.949,1,38,Pass,Empoli,Marco Zambelli,5,Empoli,58.5,62.8
3878549,a26e77a9-1415-4f6c-a9be-ca3786c7365d,46,1,00:01:41.014,1,41,Pass,Empoli,Luca Martinelli,5,Empoli,51.4,52.1
3878549,d581c322-b517-4e96-b2c3-747f0186d484,50,1,00:01:46.181,1,46,Pass,Empoli,Mário Rui Silva Duarte,5,Empoli,65.9,8.5
3878549,d4c7930a-7c03-442f-b82e-463324cd7a10,53,1,00:01:50.939,1,50,Pass,Empoli,Federico Barba,5,Empoli,52.3,24.1
3878549,e5661e78-65e2-40de-8b83-6e9ffae0ce15,56,1,00:01:53.302,1,53,Pass,Empoli,Luca Martinelli,5,Empoli,52.3,52.8
