match_id,id,index,period,timestamp,minute,second,type,team,player,possession,possession_team,x,y
3879665,64e0156b-51e7-4427-90c8-5a51111d3abd,1,1,00:00:00.000,0,0,Starting XI,Frosinone,nan,1,Frosinone,,
3879665,865842fd-0fbf-4dbc-bde2-849b3fc0c054,2,1,00:00:00.000,0,0,Starting XI,AC Milan,nan,1,Frosinone,,
3879665,02db08b0-a977-4918-b5ec-95f12180d9a2,3,1,00:00:00.000,0,0,Half Start,AC Milan,nan,1,Frosinone,,
3879665,0e370c28-ae8e-4f77-95a9-669742d481fb,4,1,00:00:00.000,0,0,Half Start,Frosinone,nan,1,Frosinone,,
3879665,a80c18b4-d9be-42b1-94f7-13f484e76b30,1698,2,00:00:00.000,45,0,Half Start,AC Milan,nan,85,AC Milan,,
3879665,03a27b76-9526-45e5-a4e1-f83f1818be8b,1699,2,00:00:00.000,45,0,Half Start,Frosinone,nan,85,AC Milan,,
3879665,517b2395-daf2-43a7-a6c0-1211e32fb32c,5,1,00:00:00.500,0,0,Pass,AC Milan,Andrea Bertolacci,2,AC Milan,61.0,40.1
3879665,6405dc52-a9f9-445e-8e9c-523bb960ffe4,7,1,00:00:01.456,0,1,Pass,AC Milan,Riccardo Montolivo,2,AC Milan,61.7,41.7
3879665,35be4437-5a00-4a6e-a874-a3e4cad85585,11,1,00:00:06.045,0,6,Pass,AC Milan,Giacomo Bonaventura,2,AC Milan,77.3,30.0
3879665,588c1d28-7fa3-4e76-ba26-d2e636b41458,14,1,00:00:07.856,0,7,Pass,AC Milan,Riccardo Montolivo,2,AC Milan,72.9,39.6
3879665,527d2fff-30d8-4ae8-acfa-babe93e14d0d,18,1,00:00:09.891,0,9,Pass,AC Milan,Ignazio Abate,2,AC Milan,70.2,72.7
3879665,4f386955-cede-4694-9bb6-ed083048d6cb,24,1,00:00:21.052,0,21,Pass,AC Milan,Alex Rodrigo Dias da Costa,2,AC Milan,24.0,73.0
3879665,488c4157-c4d8-4a60-8a1d-f195d22fd365,29,1,00:00:24.326,0,24,Pass,AC Milan,Keisuke Honda,2,AC Milan,56.9,62.2
3879665,1439e2a2-ca1d-4dd0-b127-9f0e29852d7d,32,1,00:00:25.257,0,25,Pass,AC Milan,Andrea Bertolacci,2,AC Milan,56.9,47.8
3879665,678fafc2-4d35-41ca-acaa-de5d5a87b1cc,34,1,00:00:26.323,0,26,Pass,AC Milan,Riccardo Montolivo,2,AC Milan,49.6,53.6
3879665,25299c59-ecf2-48c3-83b5-0e6c1c1c1688,37,1,00:00:29.692,0,29,Pass,AC Milan,Mattia De Sciglio,2,AC Milan,64.3,15.3
3879665,8a2a2cc6-a1f5-4c18-ace8-8ec8249dc77e,39,1,00:00:31.114,0,31,Pass,AC Milan,Giacomo Bonaventura,2,AC Milan,78.4,5.1
3879665,b4f50df6-6d2c-4a55-8566-8bf04f701167,42,1,00:00:47.942,0,47,Pass,AC Milan,Mattia De Sciglio,3,AC Milan,76.1,0.1
3879665,3eb4771d-7e06-47c8-871f-f0877b97fa89,47,1,00:00:53.036,0,53,Pass,Frosinone,Paolo Sammarco,4,Frosinone,47.5,53.8
3879665,92436eef-7ed0-4edb-9b3f-83ab75ec1bc1,50,1,00:01:00.157,1,0,Pass,Frosinone,Federico Dionisi,4,Frosinone,95.7,63.7
3879665,fe638b15-7aad-407b-a0a1-c1c16ae3040a,53,1,00:01:01.073,1,1,Pass,Frosinone,Paolo Sammarco,4,Frosinone,96.7,51.7
3879665,f5a857f4-8483-4da7-9ba1-ebd34108c7b2,56,1,00:01:03.263,1,3,Pass,Frosinone,Aleksandar Tonev,4,Frosinone,90.2,46.4
3879665,83c027a1-f11b-4935-a45c-6203e55eb983,61,1,00:01:05.062,1,5,Pass,Frosinone,Danilo Soddimo,4,Frosinone,96.9,39.7
