match_id,id,index,period,timestamp,minute,second,type,team,player,possession,possession_team,x,y
3879749,d7b60188-79ee-4f6c-bc09-f684ddfc321f,1,1,00:00:00.000,0,0,Starting XI,Inter Milan,nan,1,Inter Milan,,
3879749,b700d496-eafa-40e4-85c0-e5e646fd3b94,2,1,00:00:00.000,0,0,Starting XI,Sampdoria,nan,1,Inter Milan,,
3879749,7f6f3bd1-474b-4c19-8bc9-12519262d812,3,1,00:00:00.000,0,0,Half Start,Sampdoria,nan,1,Inter Milan,,
3879749,37ea76db-2e7f-459d-a82d-b3d80c5a8c36,4,1,00:00:00.000,0,0,Half Start,Inter Milan,nan,1,Inter Milan,,
3879749,ed78b5c0-bf44-4565-ad18-476bf0f56dd4,1776,2,00:00:00.000,45,0,Half Start,Inter Milan,nan,87,Inter Milan,,
3879749,a9bd243d-aa71-4ff0-ad0d-303e4c33f70c,1777,2,00:00:00.000,45,0,Half Start,Sampdoria,nan,87,Inter Milan,,
3879749,8f67abcf-61a1-436b-94b8-f4bf432e4c71,5,1,00:00:00.803,0,0,Pass,Sampdoria,Carlos Joaquín Correa,2,Sampdoria,61.0,40.1
3879749,78fb882a-31d2-43a0-9944-3e060b87e79f,7,1,00:00:01.145,0,1,Pass,Sampdoria,Fabio Quagliarella,2,Sampdoria,58.7,42.5
3879749,7872d5fd-807f-4c3a-a8ea-de848221385b,9,1,00:00:02.405,0,2,Pass,Sampdoria,Roberto Soriano,2,Sampdoria,48.4,38.0
3879749,8c176f70-196a-4700-b114-cba491bb5b4b,12,1,00:00:07.079,0,7,Pass,Sampdoria,Mattia Cassani,2,Sampdoria,22.5,60.2
3879749,631b778a-120e-4c77-9a63-322dd1d2299d,15,1,00:00:09.988,0,9,Pass,Sampdoria,Andrea Ranocchia,2,Sampdoria,23.2,45.3
3879749,5e066cda-9670-42e1-90f9-26873293a75c,19,1,00:00:12.840,0,12,Pass,Sampdoria,Matías Agustín Silvestre,2,Sampdoria,26.9,28.3
3879749,6239b034-d529-4cab-addd-e0fd621f364c,22,1,00:00:13.873,0,13,Pass,Sampdoria,José Rodolfo Pires Ribeiro,2,Sampdoria,36.8,6.3
3879749,941899d8-4688-438e-92c4-4e24b85c4bab,24,1,00:00:16.514,0,16,Pass,Inter Milan,João Miranda de Souza Filho,2,Sampdoria,45.4,62.2
3879749,6b5e374c-25ba-4385-9811-ccafd6c9fc83,27,1,00:00:18.567,0,18,Pass,Inter Milan,Marcelo Brozović,2,Sampdoria,51.6,63.6
3879749,d158177c-91ec-42ef-9071-1f54d7edcf19,29,1,00:00:32.487,0,32,Pass,Sampdoria,José Rodolfo Pires Ribeiro,3,Sampdoria,64.6,0.1
3879749,772cb516-601e-4e2e-a1bc-c133655a6995,31,1,00:00:34.049,0,34,Pass,Sampdoria,Matías Agustín Silvestre,3,Sampdoria,53.6,9.1
3879749,aaa93dda-b584-4101-8f39-35dccf38add9,34,1,00:00:35.749,0,35,Pass,Sampdoria,Andrea Ranocchia,3,Sampdoria,45.2,21.5
3879749,0787ef75-1095-46ba-baab-4d6dec749142,37,1,00:00:40.387,0,40,Pass,Sampdoria,Mattia Cassani,3,Sampdoria,52.7,69.2
3879749,3ecb3683-c90b-4058-aed3-6b42979b3c1d,39,1,00:00:41.358,0,41,Pass,Inter Milan,Danilo D''Ambrosio,3,Sampdoria,49.6,11.3
3879749,d0af43f4-7c0d-42bf-8a63-3a9c2c2464ba,41,1,00:00:42.750,0,42,Pass,Sampdoria,Mattia Cassani,3,Sampdoria,55.3,72.8
3879749,7e884fb0-203d-43a0-8b3c-d0a64da83125,44,1,00:00:46.477,0,46,Pass,Sampdoria,Dávid Ivan,3,Sampdoria,87.0,73.0
3879749,e41bfeeb-49bd-4318-8842-5505cfe6092b,48,1,00:00:48.564,0,48,Pass,Sampdoria,Fabio Quagliarella,3,Sampdoria,93.8,56.9
3879749,e662cb2f-6ee2-4c55-a83e-f568c635a1d1,51,1,00:01:06.479,1,6,Pass,Inter Milan,Samir Handanovič,4,Inter Milan,6.0,44.0
3879749,2140c63a-c5e2-4d4a-913b-d925fcb395c1,55,1,00:01:13.375,1,13,Pass,Inter Milan,João Miranda de Souza Filho,4,Inter Milan,20.8,65.5
3879749,c7c9a521-4777-42dc-9ece-98a6bdfb35ac,58,1,00:01:16.602,1,16,Pass,Sampdoria,Andrea Ranocchia,5,Sampdoria,47.5,30.9
3879749,d02548fd-e276-4c5f-810d-34b0200bb9fb,60,1,00:01:18.368,1,18,Pass,Sampdoria,Ricardo Gabriel Álvarez,5,Sampdoria,61.9,38.2
3879749,f63bacd9-8b73-4558-8de6-da1a7ce48643,64,1,00:01:20.189,1,20,Pass,Sampdoria,Fernando Lucas Martins,5,Sampdoria,50.4,33.8
3879749,930502bd-ecfa-42a3-9793-78a1fd875d65,67,1,00:01:23.582,1,23,Pass,Sampdoria,Mattia Cassani,5,Sampdoria,35.7,53.8
3879749,bb0608e8-09cb-4e23-97b9-d371525a8e74,69,1,00:01:24.302,1,24,Pass,Sampdoria,Fernando Lucas Martins,5,Sampdoria,46.3,51.5
3879749,2cb0cf31-cf3e-4ba3-9c64-f0748b5c1d4f,74,1,00:01:51.938,1,51,Pass,Inter Milan,Danilo D''Ambrosio,6,Inter Milan,58.2,0.1
3879749,6673bba6-e20b-44ca-8859-7bb25bf7a84b,80,1,00:01:58.717,1,58,Pass,Sampdoria,Andrea Ranocchia,6,Inter Milan,25.5,78.2
3879749,8e4729b4-3bd8-49fe-ae76-bfcb4723b177,81,1,00:02:22.890,2,22,Pass,Inter Milan,Danilo D''Ambrosio,7,Inter Milan,69.3,0.1
3879749,0fa7b037-9553-4796-9cd1-358c558ad97c,83,1,00:02:24.356,2,24,Pass,Sampdoria,Andrea Ranocchia,7,Inter Milan,31.6,73.7
3879749,c3bfb01b-1749-416d-a5b2-b54305191793,85,1,00:02:25.878,2,25,Pass,Inter Milan,Danilo D''Ambrosio,7,Inter Milan,71.9,4.3
3879749,e58e8b1c-6b18-41cc-b79c-de67fbab69c1,89,1,00:02:27.582,2,27,Pass,Inter Milan,Marcelo Brozović,7,Inter Milan,70.5,11.3
3879749,c341ee5b-754f-4e3c-88f4-a9ea03db0e58,92,1,00:02:29.271,2,29,Pass,Inter Milan,Felipe Melo de Carvalho,7,Inter Milan,57.4,19.1
3879749,180493ec-8a4b-4f88-9bb4-0559ef75cc9e,95,1,00:02:33.456,2,33,Pass,Inter Milan,Samir Handanovič,7,Inter Milan,18.9,39.7
3879749,a08ea5ce-36c2-4842-8aca-8168485f56b5,98,1,00:02:36.510,2,36,Pass,Inter Milan,Jeison Fabián Murillo Cerón,7,Inter Milan,35.2,12.3
3879749,52dd819c-d1d0-436b-b93b-b7c6550633be,102,1,00:02:39.477,2,39,Pass,Inter Milan,Danilo D''Ambrosio,7,Inter Milan,49.9,4.7
3879749,4ac34305-3a0c-4c95-90e1-cc3813e8dae6,106,1,00:02:43.236,2,43,Pass,Inter Milan,Jeison Fabián Murillo Cerón,7,Inter Milan,41.6,6.1
3879749,f3c38fc9-253c-49f2-9cbe-ef823d62e322,108,1,00:02:51.101,2,51,Pass,Sampdoria,Mattia Cassani,8,Sampdoria,65.0,80.0
3879749,1f30f547-fad7-491a-8862-24f5bb603496,110,1,00:02:51.989,2,51,Pass,Sampdoria,Andrea Ranocchia,8,Sampdoria,36.6,64.2
3879749,b51e1ff8-3082-48fd-bd70-d1ec2a40dfe5,113,1,00:02:55.787,2,55,Pass,Sampdoria,Matías Agustín Silvestre,8,Sampdoria,49.7,26.9
3879749,ee81cfbd-ad6e-4d11-b017-545261db8a9b,116,1,00:02:56.879,2,56,Pass,Sampdoria,Carlos Joaquín Correa,8,Sampdoria,71.2,25.2
3879749,918c2421-7690-4955-9f30-51e2ec621390,119,1,00:02:59.227,2,59,Pass,Sampdoria,Roberto Soriano,8,Sampdoria,57.4,37.6
3879749,a6eb55d8-8c2b-42ef-bbdf-82780e49b439,122,1,00:03:03.799,3,3,Pass,Sampdoria,Mattia Cassani,8,Sampdoria,76.3,72.3
3879749,aae453ef-8091-4fa2-a114-b10376649e77,126,1,00:03:07.945,3,7,Pass,Inter Milan,Samir Handanovič,9,Inter Milan,9.0,34.8
3879749,0d3d4525-000a-4a71-9f89-edac0690a59c,129,1,00:03:10.515,3,10,Pass,Inter Milan,João Miranda de Souza Filho,9,Inter Milan,16.3,48.3
3879749,9db5d173-0b69-4d2a-b81e-4c1e1c0125dc,133,1,00:03:15.188,3,15,Pass,Inter Milan,Felipe Melo de Carvalho,9,Inter Milan,33.6,55.4
3879749,940fc502-6bd7-4f2e-a3a1-3d2a51c1aa23,136,1,00:03:16.181,3,16,Pass,Inter Milan,Yuto Nagatomo,9,Inter Milan,34.1,69.5
3879749,de7c1239-be1d-499b-bae9-97aee12c2e07,139,1,00:03:19.247,3,19,Pass,Inter Milan,João Miranda de Souza Filho,9,Inter Milan,28.8,53.2
3879749,25c0f65b-bcab-4ba2-9f1a-e1a5a80eb3b6,142,1,00:03:24.845,3,24,Pass,Inter Milan,Danilo D''Ambrosio,9,Inter Milan,47.8,4.2
3879749,fbe98885-b03a-40e0-ba75-e5a9615df8b2,145,1,00:03:30.341,3,30,Pass,Sampdoria,Emiliano Viviano,10,Sampdoria,12.2,58.8
3879749,3ff285e8-f7f1-4331-94c3-2ec043467a5c,147,1,00:03:35.410,3,35,Pass,Sampdoria,Fernando Lucas Martins,10,Sampdoria,37.8,56.2
3879749,b59ce986-8e6e-4799-aaae-0f92e6c44756,151,1,00:03:37.849,3,37,Pass,Sampdoria,Carlos Joaquín Correa,10,Sampdoria,53.9,46.8
3879749,387f18a9-3ffc-475c-8bff-3637b748f78a,154,1,00:03:40.158,3,40,Pass,Sampdoria,Mattia Cassani,10,Sampdoria,35.2,71.6
3879749,6e21b989-6942-498c-bad4-bf5c66e588ea,158,1,00:03:41.865,3,41,Pass,Sampdoria,Fernando Lucas Martins,10,Sampdoria,42.3,65.7
3879749,7558b342-7ebb-4fa0-9ee0-16c6a024805a,161,1,00:03:46.775,3,46,Pass,Sampdoria,Roberto Soriano,10,Sampdoria,56.0,26.7
3879749,e644c2e6-ec35-45b3-bd1f-460e68c215d4,167,1,00:04:09.895,4,9,Pass,Inter Milan,Samir Handanovič,11,Inter Milan,6.0,44.0
3879749,36d4a613-6450-4a10-a416-5d75167c3267,170,1,00:04:12.918,4,12,Pass,Inter Milan,Jeison Fabián Murillo Cerón,11,Inter Milan,8.0,13.0
3879749,463b3b2e-cb80-4312-ae0e-8feab1145edd,173,1,00:04:15.440,4,15,Pass,Inter Milan,Danilo D''Ambrosio,11,Inter Milan,19.6,1.4
3879749,ab85e895-b6c2-4f5b-b315-ab3eff46c2af,176,1,00:04:20.507,4,20,Pass,Sampdoria,Roberto Soriano,12,Sampdoria,74.2,69.7
3879749,d35a1503-b942-467b-8091-14fb4037c614,179,1,00:04:22.414,4,22,Pass,Sampdoria,Dávid Ivan,12,Sampdoria,78.7,77.7
3879749,6b110d93-cfe7-412b-8403-7f4cec9b24e8,184,1,00:04:25.225,4,25,Pass,Sampdoria,Roberto Soriano,12,Sampdoria,79.7,65.0
3879749,8b17da30-bf51-406f-baec-c32fc11baf9f,187,1,00:04:27.002,4,27,Pass,Sampdoria,Fernando Lucas Martins,12,Sampdoria,71.1,71.4
3879749,ef254c1d-bee1-4ec1-b03a-9d6056ae4ad2,192,1,00:04:30.038,4,30,Pass,Sampdoria,Ricardo Gabriel Álvarez,12,Sampdoria,72.1,75.6
3879749,6192d07e-bf35-4c5c-9e27-1dfd3df54222,195,1,00:04:30.748,4,30,Pass,Sampdoria,Roberto Soriano,12,Sampdoria,72.3,66.4
3879749,ce4a6038-0d4c-4f1e-a83d-91753d98ec10,198,1,00:04:33.668,4,33,Pass,Sampdoria,Mattia Cassani,12,Sampdoria,51.5,67.1
3879749,4494d7a5-61d8-4760-b878-121052d34467,201,1,00:04:36.531,4,36,Pass,Sampdoria,Ricardo Gabriel Álvarez,12,Sampdoria,56.7,47.5
3879749,f40ab613-b177-4e75-99c0-0ee734c57eb0,203,1,00:04:39.470,4,39,Pass,Sampdoria,Matías Agustín Silvestre,12,Sampdoria,55.3,16.9
3879749,ba229f81-9f17-49a5-96e7-8cd5ef01ff87,209,1,00:04:52.359,4,52,Pass,Sampdoria,José Rodolfo Pires Ribeiro,13,Sampdoria,77.3,0.1
3879749,fd9fcfed-9008-45eb-afb6-71ca07e665f9,213,1,00:04:56.577,4,56,Pass,Sampdoria,Carlos Joaquín Correa,13,Sampdoria,78.5,16.5
3879749,56b8e11d-3076-4628-8106-4c0039b2104f,216,1,00:04:57.834,4,57,Pass,Sampdoria,Roberto Soriano,13,Sampdoria,65.3,18.4
3879749,bf51c994-bcfc-4360-8773-16978bbbc977,219,1,00:04:59.794,4,59,Pass,Sampdoria,Matías Agustín Silvestre,13,Sampdoria,55.8,11.0
