match_id,id,index,period,timestamp,minute,second,type,team,player,possession,possession_team,x,y
3879593,6e0931cc-09e0-4d4e-9dd7-448edd04e442,1,1,00:00:00.000,0,0,Starting XI,Napoli,nan,1,Napoli,,
3879593,aec6f3b4-fa4b-4ac8-a23e-df98c358eec2,2,1,00:00:00.000,0,0,Starting XI,Palermo,nan,1,Napoli,,
3879593,db35da94-2874-42c2-a11f-86731c0c47d4,3,1,00:00:00.000,0,0,Half Start,Napoli,nan,1,Napoli,,
3879593,cdc5b421-bf4e-4ca0-add8-306743f5f633,4,1,00:00:00.000,0,0,Half Start,Palermo,nan,1,Napoli,,
3879593,c5433802-f0bc-45e6-ac5f-0b99fb9285df,2237,2,00:00:00.000,45,0,Half Start,Napoli,nan,99,Napoli,,
3879593,45afb397-b1ab-46f1-b7f5-e0bacb57302e,2238,2,00:00:00.000,45,0,Half Start,Palermo,nan,99,Napoli,,
3879593,e3ecaca7-0e8d-4246-a38d-9140e41075a4,5,1,00:00:01.247,0,1,Pass,Palermo,Alberto Gilardino,2,Palermo,61.0,40.1
3879593,96d8f06d-1eef-4d9d-96ef-467e5f74d8fb,7,1,00:00:04.516,0,4,Pass,Palermo,Giancarlo González Castro,2,Palermo,38.9,44.0
3879593,f5c870c4-624c-4726-87ad-7a4c312804a0,8,1,00:00:06.419,0,6,Pass,Napoli,Faouzi Ghoulam,2,Palermo,29.1,22.9
3879593,d4af71e0-bc6f-46fc-82fa-3a4a859d5bd6,13,1,00:00:09.259,0,9,Pass,Palermo,Franco Damián Vázquez,2,Palermo,89.1,58.2
3879593,ed474b26-8c4e-4089-b3d2-37fdd45eb91c,16,1,00:00:11.027,0,11,Pass,Palermo,Andrea Rispoli,2,Palermo,107.6,72.4
3879593,9f12ff3d-fdb1-4ffe-8ec9-41266de9f43b,18,1,00:00:15.296,0,15,Pass,Palermo,Luca Rigoni,2,Palermo,95.6,59.4
3879593,bc148a7d-b999-4c7e-9eac-8cb05b25525f,20,1,00:00:16.665,0,16,Pass,Napoli,David López Silva,2,Palermo,24.0,35.7
3879593,66b344bf-3b5b-40fb-aea6-9181b65297da,22,1,00:00:18.727,0,18,Pass,Palermo,Giancarlo González Castro,2,Palermo,63.7,55.1
3879593,75fb5550-8d84-41c4-934d-6adc708a5d3e,24,1,00:00:21.808,0,21,Pass,Napoli,Raúl Albiol i Tortajada,2,Palermo,25.7,38.3
3879593,865bf189-5562-40d5-bb61-df3ba23bd891,26,1,00:00:23.401,0,23,Pass,Napoli,Marek Hamšík,2,Palermo,39.2,23.6
3879593,6d168f63-0693-470a-a682-1c52d964d893,28,1,00:00:24.695,0,24,Pass,Palermo,Enzo Maresca,2,Palermo,69.3,51.0
3879593,435e03cf-fcae-4f3f-a67a-f863a5623155,32,1,00:00:53.404,0,53,Pass,Palermo,Andrea Rispoli,3,Palermo,101.4,80.0
3879593,38fc7e6e-35ef-4b63-ac4c-36124effccd2,34,1,00:00:54.296,0,54,Pass,Palermo,Luca Rigoni,3,Palermo,102.1,71.2
3879593,6dd8c3ea-3f1a-4d92-828b-53b1a06bf2ec,37,1,00:00:55.447,0,55,Pass,Palermo,Andrea Rispoli,3,Palermo,110.3,74.4
3879593,586cb9cf-024f-4a3a-ac64-717680dfe4a2,41,1,00:00:56.537,0,56,Pass,Palermo,Luca Rigoni,3,Palermo,100.2,72.7
3879593,feae8455-5a79-40a3-846c-72283996af11,42,1,00:00:58.187,0,58,Pass,Napoli,Jorge Luiz Frello Filho,3,Palermo,17.5,15.9
3879593,b7c3a6ec-2d26-40d4-8e2f-1ca9497dadb1,46,1,00:01:00.625,1,0,Pass,Napoli,Gonzalo Gerardo Higuaín,3,Palermo,27.7,26.2
3879593,7c22d528-e6c5-4ad5-aef0-7360791dbc57,50,1,00:01:13.492,1,13,Pass,Palermo,Achraf Lazaar,4,Palermo,69.3,0.1
3879593,dd1e482b-3f49-4657-bb90-98e4c71521d2,52,1,00:01:15.229,1,15,Pass,Palermo,Franco Damián Vázquez,4,Palermo,91.5,16.7
3879593,00e4a3fd-57f7-40bc-a46a-2093158fd20a,54,1,00:01:21.618,1,21,Pass,Napoli,Elseid Hysaj,5,Napoli,26.5,80.0
3879593,bb1fd524-506a-4eff-a53e-05e98bccf2af,57,1,00:01:23.013,1,23,Pass,Napoli,José María Callejón Bueno,5,Napoli,40.2,66.3
3879593,b674579f-ddd2-4c39-ba96-0f05fb33069a,60,1,00:01:24.368,1,24,Pass,Napoli,David López Silva,5,Napoli,39.0,59.1
3879593,03d8c61c-ff6a-4363-acde-b6750263a040,65,1,00:01:26.541,1,26,Pass,Palermo,Luca Rigoni,6,Palermo,67.8,27.8
3879593,98f99e4d-44ca-465d-a45c-fa10472c01ee,69,1,00:01:27.996,1,27,Pass,Palermo,Achraf Lazaar,6,Palermo,66.4,18.1
3879593,647e9037-55d9-4782-a4a9-3292aa8e9684,71,1,00:01:28.591,1,28,Pass,Palermo,Luca Rigoni,6,Palermo,70.5,25.6
3879593,128d0ea2-17f0-4d33-ab44-6c0c1fe6efd7,73,1,00:01:29.507,1,29,Pass,Napoli,Elseid Hysaj,7,Napoli,42.1,68.0
3879593,c2a06e75-ff55-4de0-8467-c6d4595f5b63,77,1,00:01:32.943,1,32,Pass,Napoli,David López Silva,7,Napoli,63.1,68.2
3879593,8ff19046-01ac-4078-a53c-ad8739b303be,87,1,00:01:37.817,1,37,Pass,Napoli,Gonzalo Gerardo Higuaín,7,Napoli,75.4,62.0
3879593,bb81bd83-8879-4346-8610-c0a3c49a68fd,92,1,00:01:44.789,1,44,Pass,Napoli,Marek Hamšík,7,Napoli,82.0,27.0
3879593,1f63cf3c-7dca-4e63-be48-6a0084c7cd1f,95,1,00:01:47.307,1,47,Pass,Napoli,Lorenzo Insigne,7,Napoli,92.6,9.6
3879593,65ef6f2f-c1c4-4a4c-bc7c-bde2ac0cadcb,98,1,00:01:48.993,1,48,Pass,Napoli,Faouzi Ghoulam,7,Napoli,113.6,15.6
3879593,2bf250c9-806c-4cc5-a02a-22d891699409,106,1,00:01:55.926,1,55,Pass,Napoli,Lorenzo Insigne,7,Napoli,86.5,24.6
3879593,72538b41-7607-42b9-8a47-8935d9ecebf6,109,1,00:01:58.301,1,58,Pass,Napoli,Jorge Luiz Frello Filho,7,Napoli,80.5,30.8
3879593,b4078463-edfd-4646-a46c-aab3ccd3bbf3,113,1,00:02:15.281,2,15,Pass,Palermo,Stefano Sorrentino,7,Napoli,14.7,48.1
