match_id,id,minute,second,team,player,x,y,shot_body_part,shot_type,shot_first_time,shot_aerial_won,under_pressure,is_goal,shot_one_on_one
3879762,59717b88-5cbf-4f11-b086-fa82feedb2f0,53,18,Udinese,Felipe Dias da Silva dal Belo,115.5,48.1,Head,Open Play,,,,0,
3879762,bd3bb15b-fdf7-4c8b-81a2-43ced7a9a3ee,55,9,Udinese,Antonio Di Natale,103.7,50.1,Right Foot,Open Play,,,True,0,
3879762,617c4177-8ddc-466d-aa9e-b7bbcb8ffa27,55,10,Udinese,Cyril Théréau,113.3,36.4,Left Foot,Open Play,True,,,0,
3879762,53dc4432-42a1-4dcd-bcfd-7ca294fc3f7e,55,11,Udinese,Cyril Théréau,114.9,36.7,Right Foot,Open Play,True,,,1,
3879762,9e6dd78d-aea4-4250-903f-9962c89b7a74,57,14,Hellas Verona,Ante Rebić,106.2,24.0,Right Foot,Open Play,,,True,0,
3879762,0eb9d511-f35e-4204-a97b-27163529ff96,70,56,Udinese,Danilo Larangeira,118.2,44.9,Head,Open Play,,,,0,True
3879762,9db961ab-82ef-4a81-9bf9-2d886a20e69e,80,48,Hellas Verona,Luca Marrone,99.0,26.6,Right Foot,Free Kick,,,,0,
3879762,d3cb682d-3e44-4b74-afea-3d0b60012c4f,81,56,Hellas Verona,Rômulo Souza Orestes Caldeira,97.4,48.1,Right Foot,Open Play,,,,0,
3879762,a170bd42-d9eb-4988-8458-a7ba01cab27d,82,4,Hellas Verona,Luca Toni,108.2,40.6,Left Foot,Open Play,True,,,0,
3879762,3674bb71-9ac5-4e9a-9d1b-28e6e00d95a3,91,12,Udinese,Ali Adnan Kadhim Al Tameemi,89.6,54.1,Left Foot,Free Kick,,,,0,
3879762,d7d323e4-c17c-48a6-bd46-459d2780c2c6,92,8,Hellas Verona,Artur Ioniţă,101.3,50.8,Right Foot,Open Play,,,,0,
3879761,6608eb14-fca4-4734-99aa-67eb7fa9194d,1,44,Carpi,Lorenzo Lollo,86.7,40.2,Right Foot,Open Play,True,,,0,
3879761,b58bca2b-23dd-4b5c-95dd-707b8498b55c,8,41,Carpi,Kevin Lasagna,88.9,35.0,Left Foot,Open Play,True,,,0,
